datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-31,108.0,83.06,136.6,774.65,289.0,21.0,105.0,36.2
2014-02-28,126.00999999999999,118.01,165.5,940.0799999999999,370.0,38.0,113.0,41.2
2014-03-31,159.1,114.67999999999999,170.655,929.075,268.0,21.0,124.0,86.4
2014-04-30,109.43,82.025,114.75,611.4,190.0,16.0,89.0,73.3
2014-05-31,94.09,108.323,122.4,597.9,230.0,24.0,101.0,105.0
2014-06-30,122.78,110.77,146.0,656.605,382.0,25.0,75.0,134.4
2014-07-31,115.04,96.65,118.30000000000001,470.8,308.0,18.0,55.0,56.6
2014-08-31,132.81,103.48,135.8,593.45,466.0,32.0,43.0,83.3
2014-09-30,91.78,100.074,105.8,796.72,377.0,12.0,83.0,52.8
2014-10-31,98.855,105.2913125,117.2375,1006.236875,367.0625,17.625,160.0,47.6875
2014-11-30,157.42000000000002,113.34,172.3,881.8,576.0,23.0,144.0,50.2
2014-12-31,114.9,105.781,100.824,883.5799999999999,455.0,21.0,146.0,30.4
2015-01-31,125.06,116.739,128.6,1012.62,406.0,21.0,154.25,37.0
2015-02-28,109.21,130.337,126.13,901.182,286.0,15.0,210.0,47.0
2015-03-31,179.06,145.192,141.0,1241.42,250.0,14.0,206.0,58.0
2015-04-30,153.5,93.335,129.4,880.97,175.0,5.0,80.0,90.0
2015-05-31,172.35,133.724,149.94,884.3,220.0,10.0,119.0,185.5
2015-06-30,145.19,105.36,135.45999999999998,658.413,190.0,12.0,180.0,118.5
2015-07-31,141.93,97.11,103.3,664.95,188.0,6.0,70.0,122.1
2015-08-31,218.05,160.209,162.2,853.6659999999999,298.0,15.0,42.0,97.2
2015-09-30,157.57,133.439,106.8,812.525,229.0,11.0,80.0,70.0
2015-10-31,180.81,116.251,123.19999999999999,1354.935,198.0,6.0,173.0,63.0
2015-11-30,163.1,147.411,170.9,1496.675,271.0,19.0,187.0,53.0
2015-12-31,137.8,112.499,121.2,1059.799,234.0,26.0,199.0,37.730000000000004
2016-01-31,200.64,149.019,193.3,1710.174,305.0,27.0,212.0,63.5
2016-02-29,166.81,129.868,130.2,1178.662,226.0,20.0,242.0,57.0
2016-03-31,145.13,158.219,137.2,1082.65,235.0,13.0,223.0,83.34
2016-04-30,146.48,127.751,126.15,903.475,210.33333333000002,17.0,224.0,151.7
2016-05-31,196.66,148.313,159.7,1155.862,358.6666667,19.0,136.0,153.3
2016-06-30,160.68,105.005,108.15,731.45,239.0,8.0,135.0,131.8
2016-07-31,212.85833333,157.328,155.1,731.362,287.5,20.0,121.0,129.82999999999998
2016-08-31,191.47,106.55799999999999,123.7,640.0833334,264.5,12.0,113.0,79.0
2016-09-30,151.62,119.56299999999999,102.25,917.1990000000001,285.0,13.0,108.0,63.4
2016-10-31,225.1,152.708,180.6,1787.6916667,317.8333333,16.0,219.0,68.1
2016-11-30,155.99666667,110.647,127.5,1013.2860000000001,216.16666666999998,25.0,148.0,56.2
2016-12-31,137.17000000000002,106.33,102.2,1196.311,205.33333333000002,15.0,245.0,30.9
2017-01-31,215.06208333,179.86941667,211.40416667,1877.8165,458.33333327,34.166666666,235.40625001,59.916666660000004
2017-02-28,161.48,126.50991667,118.20833333,710.8433333,186.20833333000002,14.166666667,125.33333333,41.933333329999996
2017-03-31,154.68,107.589,98.85,573.9,155.0,11.0,124.0,79.6
2017-04-30,174.79,113.381,123.5,621.6,165.0,9.0,190.875,144.89999999999998
2017-05-31,128.32,108.277,86.05,482.74,135.0,17.0,118.0,146.81
2017-06-30,111.32,96.666,87.75,484.8,146.0,14.0,144.0,143.9
2017-07-31,169.305,131.584,97.7,534.85,240.0,15.0,139.0,102.1
2017-08-31,138.14,96.191,71.95,503.3,223.0,9.0,68.0,54.0
2017-09-30,161.01,114.59299999999999,88.25,679.8,213.0,14.0,73.0,72.0
2017-10-31,148.48,104.921,109.0,1364.5,252.0,27.0,316.0,52.0
2017-11-30,151.33,116.0,91.9,800.674,183.0,12.0,176.0,36.6
2017-12-31,178.36,130.466,133.7,1145.205,244.0,9.0,233.0,59.1
2018-01-31,125.28999999999999,96.247,89.9,1019.025,196.0,8.0,205.0,44.5
2018-02-28,130.02,140.363,115.4,1252.712,251.0,4.0,223.25,41.06
2018-03-31,115.32,92.974,112.5,929.361,333.0,38.0,255.0,72.4
2018-04-30,201.19,125.493,101.9,976.886,375.0,29.0,257.0,206.2
2018-05-31,141.68,97.809,84.55,590.123,238.0,13.0,135.0,192.4
2018-06-30,138.52,106.902,75.65,549.1310000000001,222.0,13.0,113.0,129.04
2018-07-31,166.35,142.18,97.9,744.212,328.0,22.0,111.0,134.6
2018-08-31,131.65,112.35900000000001,82.25,646.738,224.0,19.0,129.0,97.1
2018-09-30,172.2,127.418,100.8,1184.362,306.0,15.0,235.0,101.1
2018-10-31,128.03,118.05,69.69999999999999,1044.175,268.0,25.0,302.0,70.9
2018-11-30,167.31,96.827,101.5,933.05,229.2,19.0,306.0,39.900000000000006
2018-12-31,161.37,128.374,86.55,1316.65,286.0,30.0,378.0,63.6
2019-01-31,166.2,164.979,94.2,1506.8,268.2,20.0,318.0,39.0
2019-02-28,141.89,162.22899999999998,107.55,1099.924,263.4,12.0,259.0,59.3
2019-03-31,167.86,122.37100000000001,96.7,1040.65,324.4,22.0,298.0,186.0
2019-04-30,154.06,92.39099999999999,77.5,598.05,281.4,20.0,191.0,167.7
2019-05-31,149.88,94.32900000000001,98.75,661.1,248.8,25.0,313.29166667,126.8
2019-06-30,177.03,112.33,119.15,702.062,228.0,28.0,155.0,176.04
2019-07-31,162.5,90.184,83.8,555.225,225.6,16.0,77.0,96.2
2019-08-31,172.05,89.144,73.2,483.15,225.0,27.0,173.0,83.2
2019-09-30,187.43,122.48,111.4,1035.48,255.8,19.0,126.41666667,130.2
2019-10-31,46.370000000000005,38.739000000000004,22.75,344.54999999999995,95.0,7.0,42.0,13.13
